date,symbol
2025-08-08,ABLT
2025-08-08,ACRV
2025-08-08,AIRT
2025-08-08,AKRO
2025-08-08,AMCX
2025-08-08,AMR
2025-08-08,ANIP
2025-08-08,ANL
2025-08-08,ATLC
2025-08-08,ATMU
2025-08-08,AURI
2025-08-08,AWX
2025-08-08,AXL
2025-08-08,BOC
2025-08-08,CHTH
2025-08-08,CLMT
2025-08-08,CORZ
2025-08-08,CYD
2025-08-08,DFPH
2025-08-08,DJCO
2025-08-08,ELSE
2025-08-08,ELTX
2025-08-08,EMBC
2025-08-08,ENTX
2025-08-08,ESNT
2025-08-08,EUBG
2025-08-08,FET
2025-08-08,FRHC
2025-08-08,FUBO
2025-08-08,GTN
2025-08-08,HOUR
2025-08-08,HSON
2025-08-08,IE
2025-08-08,IRON
2025-08-08,KOP
2025-08-08,LAMR
2025-08-08,LFT
2025-08-08,LVDW
2025-08-08,MAIA
2025-08-08,ME
2025-08-08,NGNE
2025-08-08,NYC
2025-08-08,OMEX
2025-08-08,PAA
2025-08-08,PAGP
2025-08-08,PAR
2025-08-08,PCSV
2025-08-08,PFX
2025-08-08,PGNT
2025-08-08,PMTS
2025-08-08,PXS
2025-08-08,SELF
2025-08-08,SER
2025-08-08,SHC
2025-08-08,SLVM
2025-08-08,SONX
2025-08-08,SPCO
2025-08-08,SRDX
2025-08-08,STRW
2025-08-08,TEM
2025-08-08,TG
2025-08-08,TIKK
2025-08-08,TRCK
2025-08-08,TUSK
2025-08-08,TWIN
2025-08-08,UAA
2025-08-08,UG
2025-08-08,VERV
2025-08-08,WEN
2025-08-08,WHG
2025-08-08,WULF
2025-08-10,CRGX
2025-08-10,RDNT
